code,unit_display,unit_ucum,precision,healthy_strategy,loinc_code,sex,reference_kind,low_value,high_value,normal_value,simulation_low,simulation_high,source_type,source_standard,source_version,source_location,notes
0100101A,×10^9/L,10*9/L,1,uniform,6690-2,all,range,3.5,9.5,,3.5,9.5,national-standard,WS/T 405-2012,2012,表 1,成人静脉血
0100201A,×10^12/L,10*12/L,1,uniform,789-8,male,range,4.3,5.8,,4.3,5.8,national-standard,WS/T 405-2012,2012,表 1,成年男性静脉血
0100201A,×10^12/L,10*12/L,1,uniform,789-8,female,range,3.8,5.1,,3.8,5.1,national-standard,WS/T 405-2012,2012,表 1,成年女性静脉血
0100301A,×10^9/L,10*9/L,0,uniform,777-3,all,range,125,350,,125,350,national-standard,WS/T 405-2012,2012,表 1,成人静脉血
0100401A,g/L,g/L,0,uniform,718-7,male,range,130,175,,130,175,national-standard,WS/T 405-2012,2012,表 1,成年男性静脉血
0100401A,g/L,g/L,0,uniform,718-7,female,range,115,150,,115,150,national-standard,WS/T 405-2012,2012,表 1,成年女性静脉血
0100501A,L/L,L/L,2,uniform,20570-8,male,range,0.40,0.50,,0.40,0.50,national-standard,WS/T 405-2012,2012,表 1,成年男性静脉血
0100501A,L/L,L/L,2,uniform,20570-8,female,range,0.35,0.45,,0.35,0.45,national-standard,WS/T 405-2012,2012,表 1,成年女性静脉血
0100601A,fL,fL,1,uniform,787-2,all,range,82,100,,82,100,national-standard,WS/T 405-2012,2012,表 1,成人静脉血
0100701A,pg,pg,1,uniform,785-6,all,range,27,34,,27,34,national-standard,WS/T 405-2012,2012,表 1,成人静脉血
0100801A,g/L,g/L,0,uniform,786-4,all,range,316,354,,316,354,national-standard,WS/T 405-2012,2012,表 1,成人静脉血
0100901A,%,%,1,uniform,,all,range,0.5,1.5,,0.5,1.5,project-curated,CN Health Data adult healthy baseline,2026-09-01,0100901A/all,成人健康模拟值
0300101A,mm/h,mm/h,0,uniform,,male,range,0,15,,1,15,project-curated,CN Health Data adult healthy baseline,2026-09-01,0300101A/male,成年男性健康模拟值
0300101A,mm/h,mm/h,0,uniform,,female,range,0,20,,1,20,project-curated,CN Health Data adult healthy baseline,2026-09-01,0300101A/female,成年女性健康模拟值
0500103A,s,s,1,uniform,,all,range,11,14,,11,14,project-curated,CN Health Data adult healthy baseline,2026-09-01,0500103A/all,成人健康模拟值
0500203A,s,s,1,uniform,,all,range,25,35,,25,35,project-curated,CN Health Data adult healthy baseline,2026-09-01,0500203A/all,成人健康模拟值
0500303A,s,s,1,uniform,,all,range,14,21,,14,21,project-curated,CN Health Data adult healthy baseline,2026-09-01,0500303A/all,成人健康模拟值
0500403A,g/L,g/L,1,uniform,,all,range,2,4,,2,4,project-curated,CN Health Data adult healthy baseline,2026-09-01,0500403A/all,成人健康模拟值
0501703A,mg/L FEU,mg/L,2,uniform,,all,upper-bound,,0.5,,0.05,0.45,project-curated,CN Health Data adult healthy baseline,2026-09-01,0501703A/all,单侧参考上限与模拟范围分开保存
0600110D,,,0,fixed-normal,,all,ordinal,,,5.0～8.0,,,project-curated,CN Health Data adult healthy baseline,2026-09-01,0600110D/all,健康固定正常结果
